Flood,Aspect,Rainfall,CurvPlan,DEM,NDVI,FlowAccum,FlodDistH,FlodDistV,Hillshade,Slope,SPI,TWI
0,96,6924,0,98,6017,0,2406,95,136,15,0,5
0,211,6616,2,922,8307,0,852,444,164,14,0,5
0,160,6495,1,996,8215,0,2022,519,38,39,0,4
0,217,7043,0,799,8798,0,2960,381,165,17,0,5
0,201,6964,4,877,6529,0,2864,746,109,33,0,4
0,335,6375,1,153,6592,0,1699,116,219,16,0,5
0,3,6891,-2,837,8339,27,6255,180,214,26,396,7
0,145,7092,0,1106,7017,2,5243,532,123,16,18,6
0,251,6469,2,657,7888,0,5437,543,197,24,0,4
0,324,6924,0,90,6551,1,2528,87,224,17,9,5
0,213,6807,0,37,5357,0,357,31,178,3,0,6
0,59,6540,0,908,7921,0,170,50,120,36,0,4
0,300,6440,0,10,3097,0,1770,8,183,1,0,7
0,265,6824,-1,1120,8238,2,2586,201,214,37,45,5
0,150,6940,-1,366,6519,10,1713,51,137,13,68,7
0,130,6932,0,550,7768,36,5742,512,126,15,298,8
0,205,6845,0,23,3252,0,367,18,174,5,0,6
0,118,6813,0,130,5728,1,3857,111,121,17,9,5
0,296,6924,1,64,6020,0,2228,61,204,9,0,5
0,317,6925,2,1459,7224,3,8947,526,235,23,37,6
0,252,6514,-2,1110,8300,1052,4559,212,196,18,10201,11
0,214,5781,0,890,348,1,6183,679,154,21,12,5
0,209,5738,-1,425,9240,1,7560,345,145,23,13,5
0,258,5549,-1,1163,7839,1,1918,245,200,16,9,5
0,155,6675,0,94,3997,0,1269,59,168,4,0,6
0,314,6924,0,146,6073,2,2750,138,213,12,13,6
0,311,6907,1,368,8519,1,4329,348,247,32,18,5
0,94,6675,0,551,7692,4,6155,511,140,14,31,6
0,360,6290,0,170,7351,1,1614,133,203,12,7,6
0,117,6896,-2,263,6856,3,3632,243,100,23,37,6
0,31,6170,0,444,7962,1,1738,405,182,25,14,5
0,127,6671,0,210,6513,1,996,175,120,17,9,5
0,229,6540,1,840,7806,0,1398,382,176,16,0,5
0,71,6846,-1,861,7160,37,4453,208,112,31,676,8
0,287,7036,4,719,8571,0,6050,522,239,36,0,4
0,22,6290,-1,380,7279,4,3272,342,193,19,42,6
0,120,6990,0,598,7862,0,1157,277,144,11,0,5
0,66,6833,1,342,8101,0,2855,322,149,19,0,4
0,163,6934,0,628,8563,3,3885,368,108,22,36,6
0,338,6391,1,455,7536,2,6509,416,226,20,22,5
0,179,6675,1,264,6884,5,1449,218,106,26,72,6
0,40,6228,-1,506,7827,2,8705,467,165,29,33,5
0,154,6829,1,49,6444,0,1329,46,150,9,0,5
0,161,6924,1,124,5274,0,1816,95,167,4,0,6
0,341,6964,0,523,8419,0,4145,388,232,25,0,4
0,132,6651,0,112,6817,2,4721,72,159,6,7,7
0,268,5730,-2,1709,8306,3,2611,797,216,30,51,5
0,351,6651,1,245,7400,1,1886,193,221,21,12,5
0,95,6690,3,860,7866,1,4932,815,61,37,23,4
0,289,6651,2,309,7642,0,6375,269,225,21,0,4
0,75,6159,3,1101,186,0,6809,502,142,19,0,4
0,235,6904,1,690,8393,1,2898,436,170,31,18,5
0,160,6678,0,24,2511,0,4436,17,179,0,0,8
0,299,6807,1,58,4733,0,535,52,190,3,0,6
0,44,6994,0,32,5495,0,4859,22,180,1,0,7
0,76,6824,-1,1325,8058,60,6711,345,97,34,1222,8
0,85,5731,-1,405,5197,2,1840,307,131,19,21,6
0,160,6964,0,741,8005,1,4501,729,136,14,7,6
0,41,6290,0,341,6061,5,3482,303,151,36,111,5
0,11,6792,-2,698,7910,4,3506,338,195,10,21,7
0,354,6861,-1,400,8167,8,3312,330,227,33,153,6
0,156,7053,0,280,5533,2,1046,268,124,17,18,6
0,231,6907,0,484,8113,3,4631,464,173,23,38,6
0,122,7199,0,1481,-2000,4,5747,1004,127,15,33,6
0,25,6886,2,66,5333,0,1132,60,190,20,0,4
0,292,6924,1,18,4160,0,1107,15,189,3,0,6
0,234,5446,1,1217,8075,1,1096,225,181,14,7,6
0,192,6651,-2,259,9346,7,1259,210,128,23,89,6
0,81,6921,3,760,8836,2,1446,439,49,46,62,4
0,143,6651,-1,247,7736,2,1638,195,91,24,27,5
0,184,5540,-2,1425,6865,2,987,230,101,28,32,5
0,133,6890,1,1001,7896,0,3881,385,99,22,0,4
0,278,5585,1,1358,6918,3,1169,367,222,23,38,6
0,87,6651,-1,272,7811,88,9770,235,162,8,360,10
0,176,6785,-1,735,8272,15,3768,695,155,9,75,8
0,323,6785,1,679,7966,1,4452,658,215,13,7,6
0,87,6498,0,905,8014,1,1182,275,134,18,10,5
0,344,6626,-1,1380,8313,935,5795,244,191,4,2077,13
0,92,7032,1,330,7604,0,3533,310,155,10,0,5
0,35,6829,0,19,5409,0,1394,16,181,1,0,7
0,280,6620,1,1012,8042,4,295,221,216,18,38,6
0,16,7186,-1,1423,-2000,4,3720,866,195,39,97,5
0,92,6964,0,620,5467,3,4582,608,170,4,7,7
0,130,6896,2,360,7203,0,1971,324,100,22,0,4
0,2,5728,-2,1035,8412,2,3417,562,218,34,41,5
0,265,6695,1,861,8628,2,3659,147,214,33,40,5
0,252,6959,1,161,6774,1,510,154,198,27,16,5
0,102,6797,2,796,8780,0,2300,83,137,14,0,5
0,194,6376,0,342,5839,0,1206,186,179,1,0,8
0,323,6785,1,442,7881,1,3484,422,222,16,9,5
0,79,6920,0,584,7820,0,1707,532,169,5,0,6
0,135,7046,0,631,8567,1,1562,456,54,33,19,5
0,282,5781,0,836,8524,0,3019,452,189,4,0,6
0,194,6849,0,1095,5688,23,4457,983,172,4,51,9
0,343,6671,1,170,5864,1,1162,150,232,27,15,5
0,194,6065,0,913,7452,17,3586,695,114,28,277,7
0,205,6626,1,1516,8080,0,3600,419,159,15,0,5
0,127,5998,-2,867,7398,26,5245,257,89,25,356,7
0,96,7085,0,426,8183,2,4084,408,128,18,19,6
0,352,6376,0,321,7101,0,2079,165,196,7,0,6
0,286,7058,1,317,6441,0,806,297,228,23,0,4
0,32,6651,0,281,7873,1,7844,243,181,25,14,5
0,239,6785,-1,559,8174,5,3506,524,184,20,54,6
0,72,6682,0,43,5209,0,3439,37,170,6,0,6
0,271,6375,2,122,6380,0,887,101,193,6,0,6
0,234,6807,1,30,4808,0,3944,25,182,8,0,5
0,262,6312,0,1183,7324,2,2169,541,206,20,21,6
0,180,6924,1,19,4160,0,1252,17,176,2,0,7
0,71,6721,1,659,7503,0,3635,550,148,17,0,5
0,127,6682,0,48,5809,0,2939,42,122,16,0,5
0,162,6688,0,788,8174,1,967,278,118,19,10,5
0,278,7003,-1,432,7653,8,3572,411,207,13,54,7
0,169,6682,0,30,5986,1,2068,24,159,7,4,6
0,243,6290,1,343,7570,2,7273,304,177,38,46,5
0,304,7048,0,387,8392,4,2611,372,217,14,30,6
0,225,6079,0,585,8126,3,1754,235,158,28,49,5
0,87,6896,0,344,6927,2,3229,324,145,14,15,6
0,165,6675,2,385,6988,0,2051,349,130,16,0,5
0,22,6687,0,35,4833,2,844,30,187,7,8,7
0,183,6541,0,1151,8246,0,5857,196,153,11,0,5
0,236,6692,0,1105,8480,4,2650,314,183,12,26,7
0,299,6801,1,1316,8166,0,2563,419,223,17,0,5
0,16,6290,1,189,7000,0,1217,151,185,4,0,6
0,276,6640,0,727,8535,2,2000,569,224,28,31,5
0,164,6675,2,539,7160,0,2642,499,62,34,0,4
0,102,6675,3,621,7627,0,2755,581,95,26,0,4
