Flood,FloodNew,Aspect,Rainfall,CurvPlan,DEM,NDVI,FlowAccum,FlodDistH,FlodDistV,Hillshade,Slope,SPI,TWI
0,0,185,17,437682624,1397,1032,0,0,630,0,89,1,-6
0,0,178,17,1915250432,1484,1008,0,0,862,0,88,1,-5
0,0,140,17,-1905792384,1437,842,0,0,549,0,89,1,-5
0,0,164,17,-5424420352,1355,780,0,0,467,0,89,12,-4
0,0,201,17,1730293376,1460,849,0,0,572,0,89,0,-7
0,0,166,17,835812864,1400,1135,0,0,620,0,89,2,-5
0,0,340,19,3407932160,929,886,0,0,506,163,89,0,-7
0,0,241,20,-94921088,401,751,0,0,14,49,82,0,-4
0,0,305,20,1790710528,386,720,0,0,29,177,83,0,-5
0,0,15,20,730956096,393,635,0,0,36,89,83,0,-5
0,0,0,21,1276778624,390,0,0,0,0,0,85,0,-5
0,0,189,17,-349927712,1254,1060,0,0,474,0,88,1,-5
0,0,163,17,-2325894,697,927,0,0,137,0,89,3,-5
0,0,114,0,578751232,1356,0,0,0,467,0,89,3,-5
0,0,113,17,854849856,1335,775,0,0,447,0,89,16,-3
0,0,0,16,-3001602560,1566,1018,0,0,0,0,86,0,-5
0,0,202,19,2242693120,950,1003,0,0,430,0,88,0,-6
0,0,14,20,1897337728,456,762,0,0,112,92,85,0,-5
0,0,62,20,3196570624,450,762,0,0,106,0,87,0,-6
0,0,155,0,483485120,628,0,0,0,47,0,86,1,-3
0,0,173,17,-1343456768,618,943,0,0,37,0,84,1,-3
0,0,96,16,1355701760,1201,835,0,0,313,0,88,0,-5
0,0,54,16,8504346624,1014,963,0,0,246,0,88,0,-6
0,0,13,19,341198592,799,910,0,0,412,96,88,0,-5
0,0,108,19,6032748032,743,1350,0,0,355,0,88,0,-6
0,0,105,19,342457056,457,907,0,0,0,0,65,0,-3
0,0,142,16,-998141760,1240,815,0,0,0,0,89,6,-4
0,0,160,16,1629658112,1204,865,0,0,0,0,88,0,-6
0,0,0,19,966071616,601,704,0,0,60,0,87,0,-5
0,0,149,19,-196377008,695,914,0,0,308,0,89,1,-5
0,0,0,19,-563716608,450,890,0,0,63,0,88,0,-5
0,0,0,16,403541312,1456,930,0,0,0,0,83,0,-4
0,0,64,16,2516850432,1423,966,0,0,0,0,89,1,-6
0,0,0,16,-1388741504,1441,916,0,0,0,0,80,0,-3
0,0,76,16,3493812736,1443,852,0,0,0,0,88,0,-6
0,0,205,0,3141330688,1031,0,0,0,143,0,88,0,-6
0,0,172,0,3879935488,1033,0,0,0,145,0,87,0,-6
0,0,332,0,566844160,403,0,0,0,27,172,78,0,-4
0,0,0,0,2564654592,1033,0,0,0,145,0,88,0,-6
